Año;Área;Régimen afiliación;Grupo de edad de la madre;Tipo de parto;# Nacimientos
2005;Usme;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;2
2005;Bogotá;OTRO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Suba;OTRO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Bogotá;PARTICULAR;10 A 14 AÑOS;1.ESPONTANEO;3
2005;Ciudad Bolívar;PARTICULAR;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Kennedy;PARTICULAR;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Tunjuelito;PARTICULAR;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Bogotá;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;8
2005;Ciudad Bolívar;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Engativá;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Kennedy;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Localidad Desconocida;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Los Mártires;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Puente Aranda;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Suba;SIN INFORMACION;10 A 14 AÑOS;1.ESPONTANEO;2
2005;Barrios Unidos;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;2
2005;Bogotá;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;121
2005;Bosa;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;14
2005;Chapinero;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Ciudad Bolívar;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;26
2005;Engativá;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;4
2005;Fontibón;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Kennedy;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;18
2005;Localidad Desconocida;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;4
2005;Los Mártires;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Rafael Uribe Uribe;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;10
2005;San Cristóbal;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;11
2005;Santa Fe;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;5
2005;Suba;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;9
2005;Teusaquillo;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Tunjuelito;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;4
2005;Usaquén;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;2
2005;Usme;SUBSIDIADO;10 A 14 AÑOS;1.ESPONTANEO;8
2005;Barrios Unidos;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;1
2005;Bogotá;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;47
2005;Bosa;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;6
2005;Ciudad Bolívar;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;7
2005;Engativá;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;5
2005;Fontibón;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;1
2005;Kennedy;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;6
2005;Los Mártires;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;1
2005;Rafael Uribe Uribe;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;5
2005;San Cristóbal;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;1
2005;Santa Fe;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;3
2005;Suba;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;4
2005;Tunjuelito;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;1
2005;Usaquén;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;3
2005;Usme;CONTRIBUTIVO;10 A 14 AÑOS;2.CESAREA;3
2005;Barrios Unidos;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;1
2005;Bogotá;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;40
2005;Bosa;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;3
2005;Chapinero;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;1
2005;Ciudad Bolívar;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;6
2005;Engativá;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;3
2005;Fontibón;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;1
2005;Kennedy;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;3
2005;Localidad Desconocida;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;1
2005;Los Mártires;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;1
2005;Puente Aranda;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;1
2005;Rafael Uribe Uribe;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;4
2005;San Cristóbal;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;2
2005;Santa Fe;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;3
2005;Suba;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;4
2005;Usaquén;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;2
2005;Usme;NO ASEGURADO;10 A 14 AÑOS;2.CESAREA;4
2005;Bogotá;PARTICULAR;10 A 14 AÑOS;2.CESAREA;1
2005;San Cristóbal;PARTICULAR;10 A 14 AÑOS;2.CESAREA;1
2005;Bogotá;SIN INFORMACION;10 A 14 AÑOS;2.CESAREA;6
2005;Ciudad Bolívar;SIN INFORMACION;10 A 14 AÑOS;2.CESAREA;1
2005;Engativá;SIN INFORMACION;10 A 14 AÑOS;2.CESAREA;1
2005;Puente Aranda;SIN INFORMACION;10 A 14 AÑOS;2.CESAREA;1
2005;Usaquén;SIN INFORMACION;10 A 14 AÑOS;2.CESAREA;3
2005;Antonio Nariño;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;1
2005;Barrios Unidos;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;1
2005;Bogotá;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;65
2005;Bosa;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;4
2005;Chapinero;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;1
2005;Ciudad Bolívar;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;11
2005;Engativá;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;2
2005;Fontibón;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;2
2005;Kennedy;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;6
2005;Localidad Desconocida;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;5
2005;Los Mártires;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;2
2005;Rafael Uribe Uribe;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;4
2005;San Cristóbal;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;4
2005;Santa Fe;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;3
2005;Suba;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;6
2005;Teusaquillo;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;1
2005;Tunjuelito;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;4
2005;Usaquén;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;3
2005;Usme;SUBSIDIADO;10 A 14 AÑOS;2.CESAREA;5
2005;Bogotá;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;19
2005;Bosa;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;2
2005;Ciudad Bolívar;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;2
2005;Engativá;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;2
2005;Fontibón;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;2
2005;Kennedy;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Rafael Uribe Uribe;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;San Cristóbal;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;2
2005;Suba;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;4
2005;Tunjuelito;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Usaquén;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Usme;CONTRIBUTIVO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Bogotá;NO ASEGURADO;10 A 14 AÑOS;3.INSTRUMENTADO;2
2005;Kennedy;NO ASEGURADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Rafael Uribe Uribe;NO ASEGURADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Antonio Nariño;PARTICULAR;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Bogotá;PARTICULAR;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Barrios Unidos;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Bogotá;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;7
2005;Bosa;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Ciudad Bolívar;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Kennedy;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;San Cristóbal;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Usaquén;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Usme;SUBSIDIADO;10 A 14 AÑOS;3.INSTRUMENTADO;1
2005;Bogotá;CONTRIBUTIVO;10 A 14 AÑOS;SIN INFORMACION;1
2005;Kennedy;CONTRIBUTIVO;10 A 14 AÑOS;SIN INFORMACION;1
2005;Bogotá;SIN INFORMACION;10 A 14 AÑOS;SIN INFORMACION;1
2005;Engativá;SIN INFORMACION;10 A 14 AÑOS;SIN INFORMACION;1
2005;Antonio Nariño;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;44
2005;Barrios Unidos;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;59
2005;Bogotá;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;4.361
2005;Bosa;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;418
2005;Chapinero;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;46
2005;Ciudad Bolívar;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;365
2005;Engativá;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;496
2005;Fontibón;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;196
2005;Kennedy;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;561
2005;La Candelaria;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;6
2005;Localidad Desconocida;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;83
2005;Los Mártires;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;57
2005;Puente Aranda;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;170
2005;Rafael Uribe Uribe;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;258
2005;San Cristóbal;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;351
2005;Santa Fe;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;95
2005;Suba;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;533
2005;Sumapaz;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;2
2005;Teusaquillo;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;29
2005;Tunjuelito;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;184
2005;Usaquén;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;167
2005;Usme;CONTRIBUTIVO;15 A 19 AÑOS;1.ESPONTANEO;241
2005;Antonio Nariño;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;35
2005;Barrios Unidos;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;27
2005;Bogotá;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;3.396
2005;Bosa;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;500
2005;Chapinero;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;29
2005;Ciudad Bolívar;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;458
2005;Engativá;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;318
2005;Fontibón;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;122
2005;Kennedy;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;354
2005;La Candelaria;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Localidad Desconocida;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;72
2005;Los Mártires;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;58
2005;Puente Aranda;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;77
2005;Rafael Uribe Uribe;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;262
2005;San Cristóbal;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;268
2005;Santa Fe;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;92
2005;Suba;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;316
2005;Sumapaz;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Teusaquillo;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;19
2005;Tunjuelito;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;76
2005;Usaquén;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;118
2005;Usme;NO ASEGURADO;15 A 19 AÑOS;1.ESPONTANEO;193
2005;Bogotá;OTRO;15 A 19 AÑOS;1.ESPONTANEO;14
2005;Bosa;OTRO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Ciudad Bolívar;OTRO;15 A 19 AÑOS;1.ESPONTANEO;4
2005;Kennedy;OTRO;15 A 19 AÑOS;1.ESPONTANEO;2
2005;Localidad Desconocida;OTRO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Rafael Uribe Uribe;OTRO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Santa Fe;OTRO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Suba;OTRO;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Tunjuelito;OTRO;15 A 19 AÑOS;1.ESPONTANEO;3
2005;Antonio Nariño;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Bogotá;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;85
2005;Bosa;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;3
2005;Ciudad Bolívar;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;12
2005;Engativá;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;9
2005;Fontibón;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;2
2005;Kennedy;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;26
2005;Localidad Desconocida;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;7
2005;Los Mártires;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;2
2005;Rafael Uribe Uribe;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;3
2005;San Cristóbal;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;6
2005;Santa Fe;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;2
2005;Suba;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;4
2005;Tunjuelito;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;4
2005;Usaquén;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;1
2005;Usme;PARTICULAR;15 A 19 AÑOS;1.ESPONTANEO;3
2005;Antonio Nariño;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;2
2005;Barrios Unidos;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;7
2005;Bogotá;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;374
2005;Bosa;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;45
2005;Chapinero;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;4
2005;Ciudad Bolívar;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;50
2005;Engativá;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;44
2005;Fontibón;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;14
2005;Kennedy;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;35
2005;Localidad Desconocida;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;24
2005;Los Mártires;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;6
2005;Puente Aranda;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;11
2005;Rafael Uribe Uribe;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;18
2005;San Cristóbal;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;15
2005;Santa Fe;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;6
2005;Suba;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;42
2005;Teusaquillo;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;4
2005;Tunjuelito;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;8
2005;Usaquén;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;11
2005;Usme;SIN INFORMACION;15 A 19 AÑOS;1.ESPONTANEO;28
2005;Antonio Nariño;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;30
2005;Barrios Unidos;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;39
2005;Bogotá;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;5.150
2005;Bosa;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;410
2005;Chapinero;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;35
2005;Ciudad Bolívar;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;951
2005;Engativá;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;288
2005;Fontibón;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;88
2005;Kennedy;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;527
2005;La Candelaria;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;11
2005;Localidad Desconocida;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;138
2005;Los Mártires;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;58
2005;Puente Aranda;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;76
2005;Rafael Uribe Uribe;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;398
2005;San Cristóbal;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;495
2005;Santa Fe;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;207
2005;Suba;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;481
2005;Sumapaz;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;3
2005;Teusaquillo;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;16
2005;Tunjuelito;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;185
2005;Usaquén;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;178
2005;Usme;SUBSIDIADO;15 A 19 AÑOS;1.ESPONTANEO;536
2005;Antonio Nariño;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;21
2005;Barrios Unidos;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;26
2005;Bogotá;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;1.650
2005;Bosa;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;148
2005;Chapinero;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;13
2005;Ciudad Bolívar;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;134
2005;Engativá;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;190
2005;Fontibón;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;71
2005;Kennedy;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;204
2005;La Candelaria;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;3
2005;Localidad Desconocida;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;28
2005;Los Mártires;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;15
2005;Puente Aranda;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;68
2005;Rafael Uribe Uribe;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;126
2005;San Cristóbal;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;110
2005;Santa Fe;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;39
2005;Suba;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;201
2005;Teusaquillo;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;20
2005;Tunjuelito;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;71
2005;Usaquén;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;66
2005;Usme;CONTRIBUTIVO;15 A 19 AÑOS;2.CESAREA;96
2005;Antonio Nariño;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;11
2005;Barrios Unidos;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;9
2005;Bogotá;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;1.015
2005;Bosa;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;112
2005;Chapinero;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;9
2005;Ciudad Bolívar;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;133
2005;Engativá;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;80
2005;Fontibón;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;45
2005;Kennedy;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;137
2005;La Candelaria;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;1
2005;Localidad Desconocida;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;28
2005;Los Mártires;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;15
2005;Puente Aranda;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;18
2005;Rafael Uribe Uribe;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;93
2005;San Cristóbal;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;106
2005;Santa Fe;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;20
2005;Suba;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;82
2005;Sumapaz;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;1
2005;Teusaquillo;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;4
2005;Tunjuelito;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;33
2005;Usaquén;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;18
2005;Usme;NO ASEGURADO;15 A 19 AÑOS;2.CESAREA;60
2005;Antonio Nariño;OTRO;15 A 19 AÑOS;2.CESAREA;1
2005;Bogotá;OTRO;15 A 19 AÑOS;2.CESAREA;8
2005;Ciudad Bolívar;OTRO;15 A 19 AÑOS;2.CESAREA;1
2005;Engativá;OTRO;15 A 19 AÑOS;2.CESAREA;1
